,Areaname,STCOU,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,popini,popfin,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,FIPScounty,Percapdmg,Exposure,Recovery,NDamage,NExposure,NRecovery,Adaptability,adaptier,adaptiernum,Vulnerability,vultier,vultiernum,index
560,"Carroll, IL",17015,16674,16405,16312,16267,16102,15914,15866,15734,15638,15476,15615,15474,15338,15199,15027.0,14926.0,14793.0,14704.0,14562.0,14466.0,14398.0,15586.0,17015,996.41626,311.33860594909305,-0.009029779058597502,0.24070037681328152,-0.09607790068792654,-0.6192511750817519,-0.8599515518950334,Low,1,0.33677827750120803,High,3,2
561,"Cass, IL",17017,13695,13677,13549,13674,13640,13670,13611,13699,13660,13623,13648,13639,13570,13530,13440.0,13254.0,13068.0,12880.0,12665.0,12493.0,12324.0,13058.0,17017,334.19189,175.68693478196687,-0.0006594372801875733,-0.011864039504465067,-0.33118929541383146,-0.22469376893638476,-0.2128297294319197,Medium,2,0.3193252559093664,High,3,6
562,"Champaign, IL",17019,179669,181956,184198,187013,188617,190659,193844,196621,197570,199968,197867,199443,200931,202428,204214.0,205766.0,206420.0,207946.0,209448.0,209922.0,210006.0,206583.0,17019,5.98718,268.90333567430577,0.007964946150697186,-0.13703737163944116,-0.16962668555755078,0.18183853836676903,0.3188759100062102,High,3,0.032589313918109625,Medium,2,11
563,"Christian, IL",17021,35372,35240,35181,35172,35308,35165,35076,35034,34974,34808,34936,34897,34805,34651,34415.0,34200.0,33888.0,33562.0,33231.0,32931.0,32705.0,34038.0,17021,29.71412,209.76697725139508,-0.0011163269979390885,-0.12798820186620224,-0.272121786341764,-0.2462304309631977,-0.11824222909699544,Medium,2,0.14413358447556174,Medium,2,7
564,"Clark, IL",17023,17008,16829,16844,16750,16718,16728,16669,16682,16634,16431,16545,16442,16353,16284,16240.0,16159.0,16089.0,15924.0,15836.0,15716.0,15602.0,15587.0,17023,52.03282,52.68598186541333,-0.006225445754004231,-0.11947611790518627,-0.5443744728909112,-0.4870617730335146,-0.36758565512832836,Low,1,0.424898354985725,Extremely High,4,1
565,"Clay, IL",17025,14560,14260,14228,14194,14142,14134,14061,13975,13971,13826,13927,13862,13828,13744,13675.0,13582.0,13466.0,13393.0,13338.0,13287.0,13217.0,13313.0,17025,137.84852,231.8872700632958,-0.004667193221799383,-0.08674704123076722,-0.23378290816941946,-0.4136095660027297,-0.3268625247719625,Low,1,0.14703586693865223,Medium,2,3
566,"Coles, IL",17029,53196,52549,52454,52974,53182,53016,53359,53492,53454,53612,53568,53684,53683,53732,53655.0,53037.0,52802.0,52540.0,51736.0,51353.0,51065.0,47542.0,17029,16.96805,69.27620147433889,0.0021654719235364396,-0.13284939978601773,-0.5156203142616528,-0.09153446940904174,0.04131493037697599,High,3,0.38277091447563505,High,3,10
567,"Cook, IL",17031,5376741,5360562,5328775,5294739,5252021,5207615,5165495,5154235,5161831,5181728,5172848,5182969,5197677,5212372,5227827.0,5236393.0,5227575.0,5238541.0,5223719.0,5198275.0,5169517.0,5265398.0,17031,72.56432000000001,1059.1101256745976,0.0019565624197734016,-0.11164565054617347,1.199959246708298,-0.10138195163927372,0.010263698906899751,Medium,2,-1.3116048972544714,Low,1,8
568,"Crawford, IL",17033,20452,20363,20204,20106,20059,20051,19966,19886,19831,19845,19864,19850,19777,19707,19626.0,19541.0,19441.0,19214.0,19088.0,18972.0,18833.0,18825.0,17033,115.50429,229.02642334052314,-0.0007047925896093435,-0.09526886202697182,-0.2387413259854406,-0.22683170711311876,-0.13156284508614693,Medium,2,0.14347246395846877,Medium,2,7
569,"Cumberland, IL",17035,11253,11238,11171,11066,11078,11057,11103,11077,11100,11044,11073,11073,11044,11015,10950.0,10943.0,10890.0,10899.0,10865.0,10836.0,10787.0,10528.0,17035,116.79073,58.21605506838851,0.0,-0.09477822927099547,-0.5347897533478251,-0.19360951100829443,-0.09883128173729896,Medium,2,0.44001152407682964,Extremely High,4,5
570,"DeKalb, IL",17037,88969,90545,91951,94096,96106,98438,101437,103746,104601,105146,104026,104684,104820,104820,104919.0,104345.0,104458.0,104473.0,104200.0,104366.0,104588.0,100922.0,17037,3.6120099999999997,53.372755759957684,0.006325341741487705,-0.13794323293340927,-0.5431841567907231,0.10455160314617504,0.2424948360795843,High,3,0.4052409238573138,Extremely High,4,9
571,"De Witt, IL",17039,16798,16792,16673,16686,16671,16716,16792,16742,16733,16538,16672,16635,16562,16511,16461.0,16388.0,16322.0,16176.0,16042.0,15932.0,15764.0,15653.0,17039,11.07038,173.68029370090431,-0.0022192898272552783,-0.13509870024770973,-0.33466720452636767,-0.29822139674815995,-0.16312269650045022,Medium,2,0.19956850427865794,High,3,6
572,"Douglas, IL",17041,19922,20032,20017,20010,20100,20101,20111,20061,19970,19949,20012,19958,19908,19902,19867.0,19826.0,19770.0,19830.0,19714.0,19623.0,19551.0,19708.0,17041,41.774640000000005,58.21605506838851,-0.0026983809714171496,-0.12338846447766649,-0.5347897533478251,-0.3208045796278957,-0.19741611515022922,Medium,2,0.4114012888701586,Extremely High,4,5
573,"DuPage, IL",17043,904161,911474,913880,914078,913940,911378,908685,907426,909798,912732,911481,914224,918608,922803,926485.0,930412.0,930514.0,931826.0,931743.0,929060.0,926005.0,934094.0,17043,10.55668,323.6964631721725,0.003009388017961976,-0.13529461925422775,-0.07465926999548048,-0.05175433210572107,0.08354028714850668,High,3,-0.06063534925874728,Medium,2,11
574,"Edgar, IL",17045,19704,19465,19249,19085,19041,18987,18986,18929,18768,18668,18776,18658,18513,18339,18171.0,17992.0,17828.0,17603.0,17539.0,17407.0,17272.0,16998.0,17045,69.06651,209.76697725139508,-0.006284618662121858,-0.11297967324461386,-0.272121786341764,-0.48985103896303617,-0.3768713657184223,Low,1,0.15914211309715012,Medium,2,3
575,"Edwards, IL",17047,6971,6879,6856,6883,6825,6796,6694,6728,6710,6675,6707,6693,6691,6695,6687.0,6649.0,6612.0,6570.0,6507.0,6455.0,6431.0,6233.0,17047,210.89598,321.7715497609141,-0.0020873714030117787,-0.05888761784773174,-0.07799552875995955,-0.2920030853971763,-0.23311546754944454,Low,1,0.019107910912227806,Medium,2,3
576,"Effingham, IL",17049,34264,34334,34281,34408,34497,34365,34289,34191,34173,34275,34232,34229,34258,34274,34280.0,34332.0,34356.0,34164.0,34174.0,34137.0,34151.0,34576.0,17049,44.09213,66.5157042258498,-8.76372984342136e-05,-0.12250460164251864,-0.5204048064293142,-0.19774051856654964,-0.075235916924031,Medium,2,0.39790020478679555,High,3,6
577,"Ford, IL",17053,14241,14148,14118,14095,14135,14092,14096,14213,14095,14084,14113,14088,14045,13991,13906.0,13835.0,13758.0,13470.0,13398.0,13270.0,13155.0,13589.0,17053,87.17222,81.36191464408179,-0.0017714164245730885,-0.10607437303923424,-0.49467336347846114,-0.2771097417259497,-0.17103536868671548,Medium,2,0.3885989904392269,High,3,6
578,"Franklin, IL",17055,39018,38798,38893,39066,39298,39587,39560,39473,39546,39482,39528,39540,39518,39470,39774.0,39694.0,39503.0,39302.0,39127.0,38923.0,38688.0,38068.0,17055,53.16252,1175.6383736724601,0.00030358227079538557,-0.11904526390155883,1.4019259359206238,-0.1792993864652675,-0.06025412256370867,Medium,2,-1.5209711998221827,Low,1,8
579,"Fulton, IL",17057,38250,37880,37587,37705,37630,37452,37387,37272,37224,37090,37205,37122,36989,36829,36616.0,36323.0,36047.0,35733.0,35418.0,35092.0,34654.0,34022.0,17057,36.29966,135.80510851319747,-0.002230882945840613,-0.12547655605311145,-0.4003124526708793,-0.2987678679579693,-0.17329131190485783,Medium,2,0.27483589661776786,High,3,6
580,"Gallatin, IL",17059,6445,6279,6144,6117,6071,6030,5980,5883,5796,5631,5773,5685,5592,5516,5439.0,5385.0,5325.0,5226.0,5157.0,5064.0,4983.0,5038.0,17059,729.4218900000001,2816.311974185342,-0.01524337432877187,0.13887193274805565,4.245540431692765,-0.9121448343300175,-1.0510167670780732,Low,1,-4.1066684989447095,Low,1,4
581,"Grundy, IL",17063,37535,38320,38865,39819,41410,44181,46534,48175,49166,49702,48744,49460,49870,50064,50173.0,50277.0,50338.0,50333.0,50509.0,50666.0,50798.0,52364.0,17063,7.44187,222.86595545538438,0.014688987362547186,-0.1364825703554394,-0.2494186452117895,0.49879336883798864,0.6352759391934281,Extremely High,4,0.1129360748563501,Medium,2,15
582,"Hamilton, IL",17065,8621,8527,8440,8431,8525,8471,8497,8416,8454,8448,8453,8441,8430,8413,8371.0,8322.0,8251.0,8259.0,8221.0,8176.0,8151.0,8021.0,17065,36.72421,428.8856466415506,-0.0014196143381048148,-0.1253146377852173,0.10765455940876743,-0.2605266531988503,-0.13521201541363304,Medium,2,-0.23296919719398473,Low,1,8
583,"Hancock, IL",17067,20121,20069,19794,19673,19577,19479,19412,19359,19192,19080,19227,19155,19063,18949,18808.0,18738.0,18633.0,18264.0,18112.0,17983.0,17820.0,17750.0,17067,182.28852,612.6203507370225,-0.0037447339678577003,-0.0697981592964454,0.42610343783221627,-0.3701270965713367,-0.3003289372748913,Low,1,-0.49590159712866166,Low,1,4
584,"Hardin, IL",17069,4800,4765,4723,4724,4664,4615,4508,4462,4386,4344,4402,4357,4315,4273,4226.0,4228.0,4173.0,4161.0,4009.0,3939.0,3890.0,3700.0,17069,59.61908,1439.4863633383168,-0.010222626079054975,-0.11658280951042777,1.8592271126200148,-0.6754790614428433,-0.5588962519324155,Low,1,-1.9758099221304426,Low,1,4
585,"Henderson, IL",17071,8213,8150,8078,7935,7912,7786,7614,7565,7463,7340,7462,7379,7275,7186,7074.0,7042.0,6966.0,6927.0,6884.0,6809.0,6737.0,6485.0,17071,115.06698,728.0292127676241,-0.01112302331814527,-0.09543564680552039,0.6261300079606049,-0.7179215815406789,-0.6224859347351585,Low,1,-0.7215656547661253,Low,1,4
586,"Henry, IL",17073,51020,50714,50454,50714,50509,50572,50392,50528,50492,50536,50477,50465,50378,50260,50031.0,49883.0,49681.0,49649.0,49464.0,49267.0,49032.0,49412.0,17073,133.28713000000002,369.56786383049035,-0.00023773203637300155,-0.088486700559444,0.004845013984336129,-0.20481561681760896,-0.11632891625816495,Medium,2,-0.09333171454378014,Medium,2,7
587,"Iroquois, IL",17075,31334,31022,30805,30688,30493,30548,30308,30282,30228,29863,30068,29901,29689,29446,29272.0,29053.0,28814.0,28457.0,28169.0,27812.0,27437.0,27362.0,17075,3.91082,164.6317429750018,-0.005554077424504457,-0.1378292703904121,-0.35035014719202795,-0.45541511466899803,-0.31758584427858594,Low,1,0.21252087680161585,High,3,2
588,"Jackson, IL",17077,59612,59530,58949,59282,59462,60006,60170,59518,59605,59664,59864,59901,59992,60055,60125.0,59534.0,59188.0,59115.0,58551.0,57977.0,57517.0,53676.0,17077,39.53589,2252.6685612280758,0.0006180676199385273,-0.12424229682308648,3.2686340079953715,-0.16447531751880093,-0.04023302069571445,Medium,2,-3.392876304818458,Low,1,8
589,"Jasper, IL",17079,10117,10056,10015,9970,10010,9905,9807,9776,9786,9701,9752,9735,9707,9680,9658.0,9635.0,9592.0,9608.0,9598.0,9594.0,9547.0,9324.0,17079,116.35253000000002,69.27620147433888,-0.0017432321575061526,-0.0949453534848483,-0.5156203142616528,-0.2757812044209711,-0.1808358509361228,Medium,2,0.4206749607768045,Extremely High,4,5
590,"Jefferson, IL",17081,40045,39874,39805,39730,39638,39624,39545,39412,39277,38970,39202,39032,38908,38769,38716.0,38578.0,38523.0,38358.0,38169.0,37985.0,37774.0,37362.0,17081,138.14573,814.9254101904268,-0.004336513443191674,-0.08663368890854177,0.7767384449719124,-0.39802213132369235,-0.31138844241515057,Low,1,-0.8633721338804541,Low,1,4
591,"Jersey, IL",17083,21668,21751,22001,22126,22374,22500,22736,22838,23084,23060,22932,22972,22939,22850,22751.0,22625.0,22441.0,22215.0,22069.0,21937.0,21776.0,21533.0,17083,7.64962,2.13329465435978,0.0017442874585731729,-0.1364033370021123,-0.6319923599030807,-0.11138807328854776,0.025015263713564537,Medium,2,0.4955890229009684,Extremely High,4,5
592,"Jo Daviess, IL",17085,22289,22486,22480,22701,22646,22680,22828,22758,22715,22685,22728,22709,22663,22602,22427.0,22397.0,22186.0,22046.0,21834.0,21588.0,21429.0,21995.0,17085,503.26424999999995,364.6649932216445,-0.0008359732488560366,0.05261812674209562,-0.0036526384005446267,-0.23301524202949667,-0.2856333687715923,Low,1,0.05627076514264025,Medium,2,3
593,"Johnson, IL",17087,12878,12794,12454,12969,12903,12816,12889,12792,12671,12604,12710,12666,12653,12665,12650.0,12829.0,12866.0,12899.0,12602.0,12494.0,12391.0,13238.0,17087,48.12484,697.455204908599,-0.0034618410700236035,-0.12096657451233503,0.5731391559626223,-0.35679221838580455,-0.23582564387346952,Low,1,-0.6941057304749574,Low,1,4
594,"Kane, IL",17089,404119,423975,440437,453929,466884,475384,485179,495752,504437,511273,502628,509622,514891,518380,521874.0,524886.0,526615.0,529402.0,530839.0,531376.0,531756.0,518648.0,17089,2.49555,243.21230615422684,0.013914863477561934,-0.1383690373601508,-0.2141543624408559,0.46230306531385024,0.6006721026740011,Extremely High,4,0.0757853250807051,Medium,2,15
595,"Kankakee, IL",17091,103833,104490,104932,105794,106744,107917,109735,111499,112658,113107,112100,112895,113170,112991,112682.0,112221.0,111493.0,110801.0,111061.0,110637.0,109924.0,108104.0,17091,20.62762,481.048727375637,0.007091882247992863,-0.1314536837675572,0.19806357950466674,0.14068444478618328,0.2721381285537405,High,3,-0.32951726327222397,Low,1,12
596,"Kendall, IL",17093,54544,58437,62523,67740,73723,81107,90740,100917,108559,112490,105602,110767,114226,116366,118194.0,120036.0,121452.0,122933.0,124626.0,126054.0,127583.0,130757.0,17093,3.57153,21.493090217771442,0.04891005852161891,-0.1379586715189336,-0.5984379738983974,2.1118908300272383,2.249849501546172,Extremely High,4,0.4604793023794638,Extremely High,4,13
597,"Knox, IL",17095,55836,55329,54963,54425,53909,53513,53196,52894,52836,52817,52932,52881,52698,52545,52447.0,52112.0,51752.0,51374.0,50999.0,50508.0,50052.0,50193.0,17095,27.738,249.31001065091627,-0.0009635003400589435,-0.12874187028582534,-0.2035858246815474,-0.23902655669863807,-0.11028468641281272,Medium,2,0.07484395439572206,Medium,2,7
598,"Lake, IL",17097,644356,658986,668022,668760,677735,684419,689891,692995,697369,701042,697179,700424,701282,702099,703170.0,702898.0,702890.0,704476.0,703619.0,701473.0,699682.0,714484.0,17097,2.82549,67.43600758037198,0.004654471807096886,-0.13824320220926398,-0.5188097372098125,0.025790887661417815,0.1640340898706818,High,3,0.3805665350005485,High,3,10
599,"LaSalle, IL",17099,111509,112212,111904,110949,112135,112565,113139,113794,114171,113999,113789,113865,113688,113295,112698.0,112579.0,111935.0,111151.0,110401.0,109737.0,108998.0,109986.0,17099,77.61193,352.34169210817873,0.0006679028728611728,-0.10972055275273285,-0.025011376464631092,-0.16212620578020087,-0.052405653027468024,Medium,2,-0.08470917628810176,Medium,2,7
600,"Lawrence, IL",17101,15452,15527,16045,16455,16562,16910,16730,16952,16935,16802,16849,16853,16778,16702,16726.0,16665.0,16582.0,16457.0,16189.0,16033.0,15830.0,15465.0,17101,38.30498,72.04577742882499,0.0002374028132233367,-0.12471175110440456,-0.510820086886228,-0.18241892397173898,-0.057707172867334414,Medium,2,0.38610833578182346,High,3,6
601,"Lee, IL",17103,36062,36100,35825,35586,35704,35635,35905,36191,36272,36189,36100,36012,35778,35535,35248.0,35027.0,34718.0,34670.0,34527.0,34389.0,34204.0,34373.0,17103,6.56681,197.26031008562927,-0.002437673130193906,-0.13681630772324874,-0.29379833433720415,-0.3085154506630398,-0.17169914293979108,Medium,2,0.1569820266139554,Medium,2,7
602,"Livingston, IL",17105,39678,39881,39519,39095,39145,39062,38978,39069,39071,39054,39010,38992,38903,38687,38476.0,37689.0,37278.0,36812.0,36324.0,36040.0,35757.0,35902.0,17105,120.93888000000001,167.5139391978028,-0.0004614201486798257,-0.09319617471213279,-0.3453547264354225,-0.21535972645062088,-0.12216355173848809,Medium,2,0.2521585517232897,High,3,6
603,"Logan, IL",17107,31183,30934,30873,30958,30981,30795,30562,30498,30513,30342,30440,30353,30278,30177,30047.0,29956.0,29820.0,29488.0,29207.0,29003.0,28818.0,28238.0,17107,77.52158,285.59881869250165,-0.0028580814717477005,-0.10975501115693548,-0.14069008445077466,-0.3283324699863357,-0.21857745882940022,Low,1,0.030935073293839183,Medium,2,3
604,"McDonough, IL",17109,32913,32789,32802,32971,32798,32848,32868,32945,32615,32611,32730,32673,32568,32549,32388.0,32009.0,31727.0,31597.0,30875.0,30479.0,30107.0,27743.0,17109,41.24399,563.3850268800979,-0.0017415215398716773,-0.12359084801048487,0.34076880419160677,-0.27570057009627646,-0.1521097220857916,Medium,2,-0.46435965220209163,Low,1,8
605,"McHenry, IL",17111,260077,267632,274441,281743,287997,294280,300630,305117,307246,308067,306050,307721,308163,308060,307888.0,307357.0,307083.0,308043.0,307789.0,307714.0,307291.0,310749.0,17111,2.53343,93.92815311026264,0.005459892174481294,-0.1383545903833805,-0.4728935665410381,0.06375643069712984,0.20211102108051032,High,3,0.3345389761576576,High,3,10
606,"McLean, IL",17113,150433,152713,155882,157795,159096,160299,162925,165223,166825,168727,166706,168234,169689,171240,172390.0,173114.0,173254.0,173231.0,173219.0,172578.0,172164.0,171455.0,17113,5.13575,222.37498872022775,0.00916583686250045,-0.13736209680922828,-0.25026958846131636,0.23844558463282586,0.3758076814420541,Extremely High,4,0.11290749165208808,Medium,2,15
607,"Macon, IL",17115,114706,113604,112564,111572,111181,111083,110808,110751,110588,110732,110719,110712,110558,110262,109833.0,109193.0,108404.0,107587.0,106512.0,105528.0,104688.0,104331.0,17115,10.98606,281.1987548990995,-6.322311437061389e-05,-0.135130858882379,-0.1483162723661096,-0.1965896937385676,-0.06145883485618861,Medium,2,0.013185413483730618,Medium,2,7
608,"Macoupin, IL",17117,49019,48788,48719,48690,48612,48418,48176,48195,48092,47630,47980,47879,47712,47462,47229.0,46844.0,46482.0,45960.0,45719.0,45463.0,45243.0,45152.0,17117,0.0,157.08099538598174,-0.0021050437682367655,-0.13932081013943065,-0.36343709836338944,-0.29283611740091237,-0.15351530726148171,Medium,2,0.2241162882239588,High,3,6
609,"Madison, IL",17119,258941,260343,261130,262566,263722,264759,266164,267382,268232,268978,268005,268473,268586,268373,267937.0,267356.0,266759.0,266153.0,265670.0,264776.0,264403.0,266112.0,17119,0.07205,220.2977555358952,0.0017462360776851179,-0.13929333113530445,-0.2538698477647027,-0.11129622015725062,0.027997110978053838,Medium,2,0.11457651662939827,Medium,2,7
610,"Marshall, IL",17123,13180,12917,12939,12911,13007,12952,12896,12896,12725,12671,12763,12692,12567,12454,12319.0,12173.0,12060.0,11925.0,11794.0,11679.0,11562.0,11781.0,17123,68.10636,253.5261073652178,-0.005562955418005171,-0.11334586291583885,-0.19627848839685474,-0.4558336015337104,-0.3424877386178715,Low,1,0.08293262548101589,Medium,2,3
611,"Mason, IL",17125,16038,15960,15847,15717,15671,15471,15153,15078,14962,14787,14921,14788,14636,14508,14309.0,14126.0,13931.0,13904.0,13778.0,13621.0,13486.0,13225.0,17125,40.39704999999999,215.29705045437024,-0.00891361168822465,-0.12391386074823138,-0.2625370667986779,-0.6137753298240032,-0.48986146907577177,Low,1,0.1386232060504465,Medium,2,3
612,"Massac, IL",17127,15161,15077,15206,15205,15444,15477,15397,15471,15408,15435,15425,15439,15370,15282,15148.0,15016.0,14883.0,14594.0,14430.0,14219.0,14041.0,14280.0,17127,232.93836999999996,2577.69264615512,0.0009076175040518638,-0.050480915200110776,3.8319655561379737,-0.15082664530805256,-0.10034573010794179,Medium,2,-3.8824464713380844,Low,1,8
613,"Menard, IL",17129,12486,12503,12525,12562,12641,12556,12570,12746,12780,12720,12702,12731,12728,12687,12658.0,12611.0,12576.0,12416.0,12367.0,12306.0,12261.0,12343.0,17129,1224.10628,361.3178994344016,0.00228310502283105,0.3275386141355897,-0.00945381933570288,-0.08598953328059863,-0.4135281474161884,Low,1,0.3369924334712926,High,3,2
614,"Mercer, IL",17131,16957,16910,16914,16829,16795,16694,16642,16598,16650,16438,16551,16497,16421,16325,16204.0,16107.0,15971.0,15794.0,15693.0,15589.0,15503.0,15779.0,17131,396.55384000000004,579.6910314626433,-0.0032626427406199023,0.01192005877960519,0.3690303615084053,-0.34740249712487115,-0.3593225559044763,Low,1,-0.3571103027288001,Low,1,4
615,"Monroe, IL",17133,27619,28302,29070,29771,30422,31007,31644,32139,32533,32848,32431,32767,33003,33181,33373.0,33539.0,33703.0,33739.0,33936.0,34168.0,34444.0,34732.0,17133,0.0,151.55092218300655,0.010360457586876754,-0.13932081013943065,-0.3730218179064756,0.29475707905151055,0.4340778891909412,Extremely High,4,0.23370100776704494,High,3,14
616,"Morgan, IL",17137,36616,36403,36262,36241,36332,36101,35966,35936,35761,35602,35755,35673,35544,35424,35272.0,35129.0,34801.0,34442.0,34426.0,34247.0,34012.0,33189.0,17137,4955.13205,235.56440720053007,-0.0022933855404838484,1.7505070045415805,-0.22740969629893365,-0.3017140871533908,-2.0522210916949715,Low,1,1.977916700840514,Extremely High,4,1
617,"Moultrie, IL",17139,14287,14324,14362,14432,14521,14587,14565,14666,14743,14787,14723,14773,14844,14869,14896.0,14927.0,14915.0,14711.0,14703.0,14641.0,14557.0,14634.0,17139,111.94877,47.15590866243815,0.003396047001290498,-0.09662489462587191,-0.5539591924339974,-0.03352817485149637,0.06309671977437555,High,3,0.45733429780812546,Extremely High,4,9
618,"Ogle, IL",17141,51032,51468,51758,52227,52536,52893,53358,53634,53802,53621,53578,53525,53378,53092,52782.0,52397.0,52034.0,51619.0,51328.0,51025.0,50793.0,51787.0,17141,20.667559999999998,210.8838938287082,-0.000989211989995894,-0.13143845113154334,-0.2701859472029962,-0.24023854088941596,-0.10880008975787261,Medium,2,0.13874749607145287,Medium,2,7
619,"Peoria, IL",17143,183433,182348,182685,182338,182613,182868,183446,184048,184803,186930,185108,185780,186399,187117,187197.0,187112.0,186818.0,186145.0,184463.0,182770.0,181111.0,182439.0,17143,559.58493,293.26218654983666,0.003630313114506126,0.07409815725021267,-0.12740793989823238,-0.022485444169156907,-0.09658360141936957,Medium,2,0.20150609714844503,High,3,6
620,"Perry, IL",17145,23094,23006,22708,22631,22630,22608,22692,22596,22434,22374,22488,22403,22287,22182,22034.0,21810.0,21595.0,21467.0,21384.0,21251.0,21092.0,21158.0,17145,92.26129,456.5360126564265,-0.0037797936677339025,-0.10413346290004659,0.15557815712419812,-0.3717797249358164,-0.2676462620357698,Low,1,-0.2597116200242447,Low,1,4
621,"Piatt, IL",17147,16365,16357,16216,16375,16463,16649,16682,16664,16716,16774,16708,16710,16679,16620,16552.0,16495.0,16469.0,16433.0,16427.0,16401.0,16412.0,16664.0,17147,18.20871,49.92548461692425,0.00011970313622216902,-0.132376226971872,-0.5491589650585726,-0.18796699841017012,-0.0555907714382981,Medium,2,0.41678273808670063,Extremely High,4,5
622,"Pike, IL",17149,17384,17178,17031,16866,16910,16862,16632,16772,16615,16473,16580,16536,16436,16337,16244.0,16144.0,16054.0,15930.0,15754.0,15672.0,15571.0,14923.0,17149,0.71154,5.530073202975184,-0.0026537997587454767,-0.13904943733449032,-0.6261050653694505,-0.3187031304756137,-0.1796536931411234,Medium,2,0.4870556280349602,Extremely High,4,5
623,"Pope, IL",17151,4413,4376,4334,4393,4424,4346,4397,4439,4393,4431,4426,4418,4399,4383,4362.0,4331.0,4255.0,4360.0,4249.0,4203.0,4177.0,3820.0,17151,161.54382,1860.146970312715,-0.0018075011296882061,-0.07770993857328891,2.588315823146454,-0.27881068632637984,-0.20110074775309095,Medium,2,-2.6660257617197427,Low,1,8
624,"Pulaski, IL",17153,7348,7118,7001,6859,6733,6575,6434,6359,6198,6164,6262,6184,6107,6035,5967.0,5871.0,5792.0,5691.0,5611.0,5510.0,5414.0,5279.0,17153,113.11529,3016.666690381212,-0.012456084318109231,-0.09617999791673543,4.59279510507374,-0.7807588114057712,-0.6845788134890358,Low,1,-4.688975102990475,Low,1,4
625,"Putnam, IL",17155,6086,6052,6061,6074,6015,5977,5931,5987,5989,5997,5982,5989,5968,5927,5895.0,5822.0,5746.0,5771.0,5746.0,5721.0,5720.0,5638.0,17155,202.52537999999998,162.61106858895693,0.001170177198261451,-0.062080064092543505,-0.3538523788203033,-0.138450224530007,-0.07637016043746349,Medium,2,0.2917723147277598,High,3,6
626,"Randolph, IL",17157,33893,34127,33512,33410,33714,33588,33688,33598,33584,33528,33567,33503,33353,33218,33091.0,33069.0,32934.0,32829.0,32546.0,32295.0,31973.0,30632.0,17157,0.0,11.060146405950368,-0.0019066344922096107,-0.13932081013943065,-0.6165203458263644,-0.28348359018316166,-0.144162780043731,Medium,2,0.47719953568693374,Extremely High,4,5
627,"Richland, IL",17159,16149,16162,16326,16305,16270,16258,16171,16153,16061,16229,16166,16180,16181,16213,16144.0,16127.0,16072.0,15953.0,15881.0,15766.0,15677.0,15876.0,17159,39.39602000000001,79.75091828881179,0.0008660150934059137,-0.12429564156017363,-0.49746554139066124,-0.15278768103017798,-0.02849203947000435,Medium,2,0.3731698998304876,High,3,6
628,"Rock Island, IL",17161,149374,148734,148286,147384,147291,147067,147131,147918,147501,147552,147524,147625,147504,147477,146964.0,147161.0,146536.0,146205.0,145275.0,143873.0,142801.0,144694.0,17161,11.11235,709.342988285748,0.0006846343645779669,-0.13508269339409174,0.5937430549485588,-0.1613375242487312,-0.026254830854639477,Medium,2,-0.7288257483426506,Low,1,8
629,"St. Clair, IL",17163,256082,256540,257952,258448,260214,261255,263445,264764,266518,268489,266727,268086,268873,268939,268415.0,267029.0,265569.0,264433.0,263463.0,262338.0,261186.0,258597.0,17163,0.0,24.72321805748862,0.0050950972342507506,-0.13932081013943065,-0.5928395182730094,0.04656089087298905,0.1858817010124197,High,3,0.45351870813357875,Extremely High,4,9
630,"Saline, IL",17165,26733,26249,26060,25832,25763,25526,25482,25390,25140,24911,25171,25071,24975,24950,24876.0,24783.0,24659.0,24430.0,24231.0,23994.0,23735.0,23869.0,17165,31.91385,310.99251903060616,-0.003972825871042072,-0.1271492512798524,-0.09667773832650303,-0.3808787901181063,-0.2537295388382539,Low,1,-0.030471512953349378,Medium,2,3
631,"Sangamon, IL",17167,188951,189924,190756,191339,191885,192432,193317,194025,195094,196180,195288,196393,197474,198269,198808.0,199016.0,198639.0,198134.0,197661.0,196861.0,195963.0,196759.0,17167,153.33420999999998,258.16978012962466,0.0056583097783786,-0.0808409851668269,-0.18823007755976823,0.07310935047027818,0.15395033563710508,High,3,0.10738909239294132,Medium,2,11
632,"Schuyler, IL",17169,7189,7123,7175,7236,7374,7508,7513,7545,7543,7489,7527,7519,7499,7490,7454.0,7311.0,7205.0,7181.0,7064.0,6953.0,6897.0,6953.0,17169,169.04019,240.4586298171231,-0.001062840441078783,-0.07485091314426119,-0.21892703260901433,-0.24370920570177734,-0.16885829255751617,Medium,2,0.14407611946475313,Medium,2,7
633,"Scott, IL",17171,5537,5541,5505,5507,5467,5457,5392,5388,5373,5373,5374,5351,5322,5288,5260.0,5198.0,5169.0,5109.0,5047.0,5005.0,4982.0,4923.0,17171,258.84422,149.3373424427558,-0.004279866021585412,-0.040600735338313924,-0.3768583929784197,-0.3953519106414927,-0.3547511753031788,Low,1,0.3362576576401058,High,3,2
634,"Shelby, IL",17173,22893,22702,22656,22625,22484,22445,22379,22314,22398,22386,22362,22330,22316,22266,22216.0,22115.0,22011.0,21906.0,21832.0,21737.0,21623.0,21160.0,17173,45.57186,214.03356656011462,-0.0014309990161881763,-0.12194025040343956,-0.2647269363228518,-0.26106329903402486,-0.1391230486305853,Medium,2,0.14278668591941227,Medium,2,7
